Variant,Condition,Enz_nM,mean_rate,sd,sem_rate,n
SubG,1to1,5000.0,-0.0011669539057074022,1.4758670663578807e-05,8.520922480498257e-06,3
SubG,1to2,2500.0,-0.0011472521650208354,6.959903593694282e-05,4.018302213353237e-05,3
SubG,1to20,250.0,0.07501891690543146,0.003896591585638366,0.0022496982008903413,3
SubG,1to40,125.0,0.031023748258754636,0.0009540231830261336,0.0005508055415332819,3
SubG,1to80,62.5,0.01583627939855333,0.0008725485760904076,0.0005037661552868215,3
SubV,1to1,5000.0,0.043823661393878714,0.005152341965335641,0.0029747060206435374,3
SubV,1to2,2500.0,0.021064719124807844,0.0034988057627843017,0.0020200364489857308,3
SubV,1to20,250.0,0.0011887829872638843,0.00027585437788985766,0.00015926459933184606,3
SubV,1to40,125.0,0.0004682923534173156,3.725289793698295e-05,2.150797065201076e-05,3
SubV,1to80,62.5,0.00019827717897484142,2.239984070118639e-05,1.29325540586347e-05,3
